32001,prometheus gallery,enterance,infor,employee place
32002,prometheus gallery,enterance,infor,firsh customer place
32003,prometheus gallery,enterance,infor,second customer place
32004,prometheus gallery,enterance,infor,third customer place
32005,prometheus gallery,enterance,infor,guide book shelf
32006,prometheus gallery,enterance,exhibit enterance,enterance
32007,prometheus gallery,enterance,exhibit enterance,exhibit poster
32008,prometheus gallery,enterance,exhibit enterance,guide pannel
32009,prometheus gallery,enterance,bench,left
32010,prometheus gallery,enterance,bench,center
32011,prometheus gallery,enterance,bench,right
32012,prometheus gallery,exit,sitting place,left chair
32013,prometheus gallery,exit,sitting place,right chair
32014,prometheus gallery,exit,exhibit exit,exit
32015,prometheus gallery,exit,exhibit exit,pannel
32016,prometheus gallery,exit,exhibit exit,guide book shelf
32017,prometheus gallery,exit,bench,left
32018,prometheus gallery,exit,bench,center
32019,prometheus gallery,exit,bench,right
32020,prometheus gallery,exit,bench,chiar
32021,prometheus gallery,firsh exhibit place,stand exhibit,first piece
32022,prometheus gallery,firsh exhibit place,stand exhibit,second piece
32023,prometheus gallery,firsh exhibit place,stand exhibit,third piece
32024,prometheus gallery,firsh exhibit place,stand exhibit,fourth piece
32025,prometheus gallery,firsh exhibit place,stand exhibit,fifth piece
32026,prometheus gallery,firsh exhibit place,stand exhibit,sixth piece
32027,prometheus gallery,firsh exhibit place,stand exhibit,seventh piece
32028,prometheus gallery,firsh exhibit place,stand exhibit,eighth piece
32029,prometheus gallery,firsh exhibit place,wall exhibit,first piece
32030,prometheus gallery,firsh exhibit place,wall exhibit,second piece
32031,prometheus gallery,firsh exhibit place,wall exhibit,third piece
32032,prometheus gallery,firsh exhibit place,wall exhibit,fourth piece
32033,prometheus gallery,firsh exhibit place,sofa,left
32034,prometheus gallery,firsh exhibit place,sofa,right
32035,prometheus gallery,firsh exhibit place,chair,chair
32036,prometheus gallery,second exhibit place,first exhibit wall,left-side piece
32037,prometheus gallery,second exhibit place,first exhibit wall,right-side piece
32038,prometheus gallery,second exhibit place,second exhibit wall,left-side piece
32039,prometheus gallery,second exhibit place,second exhibit wall,right-side piece
32040,prometheus gallery,second exhibit place,third exhibit wall,left-side piece
32041,prometheus gallery,second exhibit place,third exhibit wall,right-side piece
32042,prometheus gallery,second exhibit place,fourth exhibit wall,left-side piece
32043,prometheus gallery,second exhibit place,fourth exhibit wall,right-side piece
32044,prometheus gallery,second exhibit place,fifth exhibit wall,left-side piece
32045,prometheus gallery,second exhibit place,fifth exhibit wall,right-side piece
32046,prometheus gallery,second exhibit place,sixth exhibit wall,left-side piece
32047,prometheus gallery,second exhibit place,sixth exhibit wall,right-side piece
32048,prometheus gallery,second exhibit place,bean bag,bean bag
32049,prometheus gallery,second exhibit place,wall exhibit,first piece
32050,prometheus gallery,second exhibit place,wall exhibit,second piece
32051,prometheus gallery,second exhibit place,wall exhibit,third piece
32052,prometheus gallery,second exhibit place,wall exhibit,fourth piece
32053,prometheus gallery,second exhibit place,wall exhibit,fifth piece
32054,prometheus gallery,second exhibit place,wall exhibit,sixth piece
32055,prometheus gallery,second exhibit place,wall exhibit,seventh piece
32056,prometheus gallery,second exhibit place,wall exhibit,eighth piece
32057,prometheus gallery,second exhibit place,wall exhibit,ninth piece
32058,prometheus gallery,second exhibit place,wall exhibit,tenth piece
32059,prometheus gallery,third exhibit place,sofa,left
32060,prometheus gallery,third exhibit place,sofa,right
32061,prometheus gallery,third exhibit place,stand exhibit,first piece
32062,prometheus gallery,third exhibit place,stand exhibit,second piece
32063,prometheus gallery,third exhibit place,stand exhibit,third piece
32064,prometheus gallery,third exhibit place,stand exhibit,fourth piece
32065,prometheus gallery,third exhibit place,stand exhibit,fifth piece
32066,prometheus gallery,third exhibit place,stand exhibit,sixth piece
32067,prometheus gallery,third exhibit place,stand exhibit,seventh piece
32068,prometheus gallery,third exhibit place,stand exhibit,eighth piece
32069,prometheus gallery,third exhibit place,wall exhibit,first piece
32070,prometheus gallery,third exhibit place,wall exhibit,second piece
32071,prometheus gallery,third exhibit place,wall exhibit,third piece
32072,prometheus gallery,third exhibit place,wall exhibit,fourth piece
